t,ch1,ch2,
-1.8599998e-04,4.80000e-02,-9.40000e+00,
-1.8499998e-04,5.60000e-02,-9.40000e+00,
-1.8399999e-04,5.60000e-02,-9.40000e+00,
-1.8300000e-04,6.40000e-02,-9.40000e+00,
-1.8200000e-04,6.00000e-02,-9.40000e+00,
-1.8100001e-04,6.80000e-02,-9.40000e+00,
-1.8000002e-04,6.40000e-02,-9.40000e+00,
-1.7900002e-04,7.60000e-02,-9.40000e+00,
-1.7800003e-04,7.60000e-02,-9.40000e+00,
-1.7700004e-04,6.80000e-02,-9.40000e+00,
-1.7600005e-04,7.60000e-02,-9.40000e+00,
-1.7500005e-04,7.20000e-02,-9.40000e+00,
-1.7400006e-04,7.60000e-02,-9.40000e+00,
-1.7300007e-04,6.40000e-02,-9.40000e+00,
-1.7200007e-04,7.20000e-02,-9.40000e+00,
-1.7100008e-04,6.00000e-02,-7.40000e+00,
-1.7000009e-04,6.00000e-02,-7.00000e+00,
-1.6900009e-04,5.60000e-02,-5.00000e+00,
-1.6800010e-04,5.60000e-02,-4.60000e+00,
-1.6700011e-04,4.40000e-02,-3.00000e+00,
-1.6600011e-04,4.80000e-02,-2.60000e+00,
-1.6500012e-04,4.00000e-02,-1.40000e+00,
-1.6400013e-04,4.00000e-02,-1.00000e+00,
-1.6300014e-04,3.20000e-02,2.00005e-01,
-1.6200014e-04,3.20000e-02,2.00005e-01,
-1.6100015e-04,2.80000e-02,1.00000e+00,
-1.6000016e-04,2.80000e-02,1.00000e+00,
-1.5900016e-04,2.00000e-02,1.80000e+00,
-1.5800017e-04,2.00000e-02,1.80000e+00,
-1.5700018e-04,1.20000e-02,2.60000e+00,
-1.5600018e-04,1.60000e-02,2.60000e+00,
-1.5500019e-04,7.99999e-03,3.00000e+00,
-1.5400020e-04,7.99999e-03,3.00000e+00,
-1.5300020e-04,-2.98023e-08,3.40000e+00,
-1.5200021e-04,-2.98023e-08,3.00000e+00,
-1.5100022e-04,-8.00002e-03,3.80000e+00,
-1.5000023e-04,-4.00001e-03,3.80000e+00,
-1.4900023e-04,-1.60000e-02,3.80000e+00,
-1.4800024e-04,-1.60000e-02,3.80000e+00,
-1.4700025e-04,-2.00000e-02,4.20000e+00,
-1.4600025e-04,-2.00000e-02,3.80000e+00,
-1.4500026e-04,-2.80000e-02,4.20000e+00,
